array1,array2
0.10000,0.95176
0.11000,1.00000
0.12000,1.00000
0.13000,1.00000
0.14000,1.00000
0.15000,1.00000
0.16000,1.00000
0.17000,1.00000
0.18000,1.00000
0.19000,1.00000
0.20000,1.00000
0.21000,1.00000
0.22000,1.00000
0.23000,1.00000
0.24000,1.00000
0.25000,1.00000
0.26000,1.00000
0.27000,1.00000
0.28000,1.00000
0.29000,1.00000
0.30000,1.00000
0.31000,1.00000
0.32000,1.00000
0.33000,1.00000
0.34000,1.00000
0.35000,1.00000
0.36000,1.00000
0.37000,1.00000
0.38000,1.00000
0.39000,1.00000
0.40000,1.00000
0.41000,1.00000
0.42000,1.00000
0.43000,1.00000
0.44000,1.00000
0.45000,1.00000
0.46000,1.00000
0.47000,1.00000
0.48000,1.00000
0.49000,1.00000
0.50000,1.00000
0.51000,1.00000
0.52000,1.00000
0.53000,1.00000
0.54000,1.00000
0.55000,1.00000
0.56000,1.00000
0.57000,1.00000
0.58000,1.00000
0.59000,1.00000
0.60000,1.00000
0.61000,1.00000
0.62000,1.00000
0.63000,1.00000
0.64000,0.99999
0.65000,0.99999
0.66000,0.99999
0.67000,0.99999
0.68000,0.99999
0.69000,0.99998
0.70000,0.99998
0.71000,0.99998
0.72000,0.99997
0.73000,0.99997
0.74000,0.99995
0.75000,0.99995
0.76000,0.99994
0.77000,0.99994
0.78000,0.99993
0.79000,0.99992
0.80000,0.99990
0.81000,0.99989
0.82000,0.99989
0.83000,0.99987
0.84000,0.99985
0.85000,0.99984
0.86000,0.99981
0.87000,0.99978
0.88000,0.99977
0.89000,0.99973
0.90000,0.99972
0.91000,0.99967
0.92000,0.99965
0.93000,0.99960
0.94000,0.99958
0.95000,0.99951
0.96000,0.99948
0.97000,0.99942
0.98000,0.99940
0.99000,0.99935
1.00000,0.99925
1.01000,0.99920
1.02000,0.99916
1.03000,0.99907
1.04000,0.99898
1.05000,0.99895
1.06000,0.99882
1.07000,0.99874
1.08000,0.99865
1.09000,0.99849
1.10000,0.99843
1.11000,0.99835
1.12000,0.99821
1.13000,0.99808
1.14000,0.99796
1.15000,0.99782
1.16000,0.99771
1.17000,0.99755
1.18000,0.99733
1.19000,0.99721
1.20000,0.99699
1.21000,0.99686
1.22000,0.99662
1.23000,0.99643
1.24000,0.99623
1.25000,0.99601
1.26000,0.99578
1.27000,0.99559
1.28000,0.99528
1.29000,0.99505
1.30000,0.99470
1.31000,0.99443
1.32000,0.99410
1.33000,0.99384
1.34000,0.99353
1.35000,0.99319
1.36000,0.99289
1.37000,0.99250
1.38000,0.99210
1.39000,0.99170
1.40000,0.99140
1.41000,0.99086
1.42000,0.99051
1.43000,0.99004
1.44000,0.98970
1.45000,0.98915
1.46000,0.98858
1.47000,0.98804
1.48000,0.98746
1.49000,0.98706
1.50000,0.98644
1.51000,0.98582
1.52000,0.98527
1.53000,0.98471
1.54000,0.98393
1.55000,0.98330
1.56000,0.98258
1.57000,0.98178
1.58000,0.98119
1.59000,0.98043
1.60000,0.97941
1.61000,0.97873
1.62000,0.97796
1.63000,0.97710
1.64000,0.97587
1.65000,0.97504
1.66000,0.97410
1.67000,0.97306
1.68000,0.97214
1.69000,0.97098
1.70000,0.96979
1.71000,0.96874
1.72000,0.96728
1.73000,0.96646
1.74000,0.96480
1.75000,0.96398
1.76000,0.96253
1.77000,0.96145
1.78000,0.95940
1.79000,0.95794
1.80000,0.95667
1.81000,0.95523
1.82000,0.95298
1.83000,0.95175
1.84000,0.94994
1.85000,0.94795
1.86000,0.94588
1.87000,0.94451
1.88000,0.94239
1.89000,0.94066
1.90000,0.93811
1.91000,0.93555
1.92000,0.93336
1.93000,0.93038
1.94000,0.92904
1.95000,0.92489
1.96000,0.92350
1.97000,0.92014
1.98000,0.91689
1.99000,0.91279
2.00000,0.91079
2.01000,0.90710
2.02000,0.90184
2.03000,0.89957
2.04000,0.89646
2.05000,0.89151
2.06000,0.88864
2.07000,0.88397
2.08000,0.88085
2.09000,0.87106
2.10000,0.86439
2.11000,0.85403
2.12000,0.85389
2.13000,0.84642
2.14000,0.84648
2.15000,0.83313
2.16000,0.82659
2.17000,0.80868
2.18000,0.80356
2.19000,0.79948
2.20000,0.78070
2.21000,0.74222
2.22000,0.73309
2.23000,0.76008
2.24000,0.22968
2.25000,0.71650
2.26000,0.56800
2.27000,0.65490
2.28000,0.57867
2.29000,0.58212
2.30000,0.59050
2.31000,0.26090
2.32000,0.35064
2.33000,0.13965
2.34000,0.10883
2.35000,0.22800
2.36000,0.08863
2.37000,0.07973
2.38000,0.03368
2.39000,0.00156
2.40000,0.11272
2.41000,0.02167
2.42000,0.00426
2.43000,0.04699
2.44000,0.04669
2.45000,0.05889
2.46000,0.01599
2.47000,0.01377
2.48000,0.05706
2.49000,0.04574
2.50000,0.02355
2.51000,0.01345
2.52000,0.00952
2.53000,0.05069
2.54000,0.00873
2.55000,0.01837
2.56000,0.02904
2.57000,0.01720
2.58000,0.00474
2.59000,0.00862
2.60000,0.02495
2.61000,0.02006
2.62000,0.00508
2.63000,0.00799
2.64000,0.01150
2.65000,0.01629
2.66000,0.00971
2.67000,0.01004
2.68000,0.00309
2.69000,0.00946
2.70000,0.01078
2.71000,0.00432
2.72000,0.00840
2.73000,0.00304
2.74000,0.00559
2.75000,0.00004
2.76000,0.00160
2.77000,0.01065
2.78000,0.00926
2.79000,0.01137
2.80000,0.00428
2.81000,0.00255
2.82000,0.00499
2.83000,0.00341
2.84000,0.00316
2.85000,0.00722
2.86000,0.00124
2.87000,0.00033
2.88000,0.00065
2.89000,0.00648
2.90000,0.00334
2.91000,0.00477
2.92000,0.00237
2.93000,0.00051
2.94000,0.00042
2.95000,0.00233
2.96000,0.00169
2.97000,0.00337
2.98000,0.00458
2.99000,0.00546
3.00000,0.00573
3.01000,0.00173
3.02000,0.01057
3.03000,0.00247
3.04000,0.00164
3.05000,0.00521
3.06000,0.00299
3.07000,0.00099
3.08000,0.00403
3.09000,0.00039
3.10000,0.00001
3.11000,0.00352
3.12000,0.00001
3.13000,0.00029
3.14000,0.00076
3.15000,0.00129
3.16000,0.00676
3.17000,0.00410
3.18000,0.00462
3.19000,0.00130
3.20000,0.00161
3.21000,0.00192
3.22000,0.00043
3.23000,0.00271
3.24000,0.00339
3.25000,0.00222
3.26000,0.00453
3.27000,0.00029
3.28000,0.00146
3.29000,0.00479
3.30000,0.00382
3.31000,0.00039
3.32000,0.00131
3.33000,0.00308
3.34000,0.00214
3.35000,0.00003
3.36000,0.00172
3.37000,0.00085
3.38000,0.00150
3.39000,0.00253
3.40000,0.00365
3.41000,0.00048
3.42000,0.00077
3.43000,0.00074
3.44000,0.00101
3.45000,0.00088
3.46000,0.00108
3.47000,0.00128
3.48000,0.00227
3.49000,0.00199
3.50000,0.00047
3.51000,0.00207
3.52000,0.00045
3.53000,0.00042
3.54000,0.00483
3.55000,0.00141
3.56000,0.00273
3.57000,0.00001
3.58000,0.00064
3.59000,0.00402
3.60000,0.00187
3.61000,0.00009
3.62000,0.00153
3.63000,0.00123
3.64000,0.00164
3.65000,0.00202
3.66000,0.00010
3.67000,0.00010
3.68000,0.00070
3.69000,0.00006
3.70000,0.00224
3.71000,0.00292
3.72000,0.00105
3.73000,0.00230
3.74000,0.00005
3.75000,0.00175
3.76000,0.00075
3.77000,0.00034
3.78000,0.00009
3.79000,0.00205
3.80000,0.00048
3.81000,0.00009
3.82000,0.00118
3.83000,0.00298
3.84000,0.00212
3.85000,0.00321
3.86000,0.00125
3.87000,0.00025
3.88000,0.00065
3.89000,0.00040
3.90000,0.00178
3.91000,0.00027
3.92000,0.00050
3.93000,0.00126
3.94000,0.00017
3.95000,0.00190
3.96000,0.00001
3.97000,0.00023
3.98000,0.00093
3.99000,0.00086
4.00000,0.00054
4.01000,0.00009
4.02000,0.00079
4.03000,0.00029
4.04000,0.00088
4.05000,0.00127
4.06000,0.00000
4.07000,0.00156
4.08000,0.00065
4.09000,0.00055
4.10000,0.00159
4.11000,0.00255
4.12000,0.00078
4.13000,0.00135
4.14000,0.00095
4.15000,0.00048
4.16000,0.00095
4.17000,0.00028
4.18000,0.00006
4.19000,0.00075
4.20000,0.00054
4.21000,0.00007
4.22000,0.00092
4.23000,0.00027
4.24000,0.00080
4.25000,0.00044
4.26000,0.00060
4.27000,0.00178
4.28000,0.00050
4.29000,0.00044
4.30000,0.00045
4.31000,0.00199
4.32000,0.00055
4.33000,0.00235
4.34000,0.00150
4.35000,0.00122
4.36000,0.00103
4.37000,0.00018
4.38000,0.00123
4.39000,0.00103
4.40000,0.00095
4.41000,0.00005
4.42000,0.00239
4.43000,0.00020
4.44000,0.00109
4.45000,0.00010
4.46000,0.00092
4.47000,0.00007
4.48000,0.00071
4.49000,0.00020
4.50000,0.00156
4.51000,0.00036
4.52000,0.00050
4.53000,0.00019
4.54000,0.00054
4.55000,0.00081
4.56000,0.00118
4.57000,0.00007
4.58000,0.00028
4.59000,0.00076
4.60000,0.00185
4.61000,0.00013
4.62000,0.00034
4.63000,0.00003
4.64000,0.00017
4.65000,0.00065
4.66000,0.00044
4.67000,0.00032
4.68000,0.00065
4.69000,0.00173
4.70000,0.00094
4.71000,0.00044
4.72000,0.00116
4.73000,0.00008
4.74000,0.00175
4.75000,0.00089
4.76000,0.00106
4.77000,0.00147
4.78000,0.00029
4.79000,0.00137
4.80000,0.00031
4.81000,0.00004
4.82000,0.00009
4.83000,0.00064
4.84000,0.00055
4.85000,0.00124
4.86000,0.00051
4.87000,0.00182
4.88000,0.00025
4.89000,0.00102
4.90000,0.00136
4.91000,0.00144
4.92000,0.00014
4.93000,0.00154
4.94000,0.00046
4.95000,0.00003
4.96000,0.00002
4.97000,0.00065
4.98000,0.00042
4.99000,0.00064
5.00000,0.00027
